Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,24:00.0,43:00.0,006:19,10,Cable Head,ID4932,S,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,44:00.0,42:00.0,000:58,10,Cable Head,ID4932,D,1,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,59:00.0,21:00.0,000:22,10,Cable Head,ID4167,S,0,0,0,
Case 1,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,21:00.0,58:00.0,003:37,10,Cable Head,ID4167,D,8,0,0,
Case 1,Turning & Milling Q.C.,Quality Check 1,20:00.0,50:00.0,001:30,10,Cable Head,ID4163,D,9,1,0,
Case 1,Laser Marking - Machine 7,Machine 7- Laser Marking,18:00.0,27:00.0,000:09,10,Cable Head,ID0998,D,9,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,00:00.0,15:00.0,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,00:00.0,15:00.0,000:00,10,Cable Head,ID4882,D,0,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,05:00.0,20:00.0,000:00,10,Cable Head,ID4882,D,1,0,0,
Case 1,Lapping - Machine 1,Machine 1 - Lapping,05:00.0,38:00.0,000:33,10,Cable Head,ID4882,D,8,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,13:00.0,37:00.0,004:24,10,Cable Head,ID4445,S,0,0,0,
Case 1,Round Grinding - Machine 3,Machine 3 - Round Grinding,37:00.0,27:00.0,001:50,10,Cable Head,ID4445,D,9,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,59:00.0,59:00.0,001:00,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,11:00.0,12:00.0,004:01,10,Cable Head,ID4493,D,0,0,0,
Case 1,Final Inspection Q.C.,Quality Check 1,43:00.0,58:00.0,000:00,10,Cable Head,ID4493,D,9,0,0,
Case 1,Packing,Packing,00:00.0,00:00.0,000:00,10,Cable Head,ID4820,D,9,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,01:00.0,05:00.0,004:04,251,Spur Gear,ID3846,S,1,0,0,
Case 10,Turning Q.C.,Quality Check 1,00:00.0,15:00.0,000:15,251,Spur Gear,ID4618,D,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,24:00.0,01:00.0,000:37,251,Spur Gear,ID4132,S,0,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,01:00.0,43:00.0,003:42,251,Spur Gear,ID4132,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,49:00.0,32:00.0,006:43,251,Spur Gear,ID4794,D,37,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,59:00.0,24:00.0,000:25,251,Spur Gear,ID3846,D,4,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,33:00.0,55:00.0,001:22,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,57:00.0,04:00.0,002:07,251,Spur Gear,ID4132,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,10:00.0,29:00.0,010:19,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,12:00.0,09:00.0,001:57,251,Spur Gear,ID4132,S,1,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,10:00.0,08:00.0,001:58,251,Spur Gear,ID4132,D,8,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,09:00.0,10:00.0,009:01,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,42:00.0,34:00.0,003:52,251,Spur Gear,ID4641,D,17,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,00:00.0,13:00.0,000:13,251,Spur Gear,ID3846,D,3,0,0,
Case 10,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,02:00.0,47:00.0,008:45,251,Spur Gear,ID3846,D,79,0,0,
Case 10,Turning Q.C.,Quality Check 1,54:00.0,26:00.0,002:32,251,Spur Gear,ID4618,D,251,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,31:00.0,57:00.0,001:26,251,Spur Gear,ID4794,D,40,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,00:00.0,54:00.0,001:54,251,Spur Gear,ID4882,D,160,0,0,
Case 10,Laser Marking - Machine 7,Machine 7- Laser Marking,22:00.0,09:00.0,000:47,251,Spur Gear,ID4882,D,51,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,30:00.0,00:00.0,002:30,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,09:00.0,06:00.0,006:57,251,Spur Gear,ID0998,D,100,0,0,
Case 10,Flat Grinding - Machine 11,Machine 11 - Grinding,19:00.0,59:00.0,001:40,251,Spur Gear,ID0998,D,51,0,0,
Case 10,Final Inspection Q.C.,Quality Check 1,38:00.0,16:00.0,001:38,251,Spur Gear,ID4618,D,250,1,0,
Case 10,Packing,Packing,00:00.0,00:00.0,000:00,251,Spur Gear,ID4820,D,250,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,09:00.0,57:00.0,000:48,18,Ballnut,ID4219,D,7,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,57:00.0,57:00.0,004:00,18,Ballnut,ID4529,D,11,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,45:00.0,03:00.0,004:18,18,Ballnut,ID4219,S,1,0,0,
Case 100,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,04:00.0,08:00.0,001:04,18,Ballnut,ID4219,D,17,0,0,
Case 100,Turning & Milling Q.C.,Quality Check 1,48:00.0,10:00.0,000:22,18,Ballnut,ID4618,D,18,0,0,
Case 100,Laser Marking - Machine 7,Machine 7- Laser Marking,05:00.0,06:00.0,000:01,18,Ballnut,ID0998,D,18,0,0,
Case 100,Flat Grinding - Machine 11,Machine 11 - Grinding,23:00.0,45:00.0,000:22,18,Ballnut,ID0998,D,18,0,0,
Case 100,Lapping - Machine 1,Machine 1 - Lapping,46:00.0,18:00.0,000:32,18,Ballnut,ID4882,D,18,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,34:00.0,41:00.0,000:07,18,Ballnut,ID4445,S,0,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,41:00.0,12:00.0,004:31,18,Ballnut,ID4445,D,18,0,0,
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,30:00.0,40:00.0,001:10,18,Ballnut,ID4872,D,0,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,21:00.0,06:00.0,002:45,18,Ballnut,ID4618,D,0,0,0,
Case 100,Packing,Packing,00:00.0,00:00.0,000:00,18,Ballnut,ID4820,D,18,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,02:00.0,03:00.0,000:01,18,Ballnut,ID4618,D,18,0,0,
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,47:00.0,03:00.0,001:16,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,38:00.0,03:00.0,002:25,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,04:00.0,49:00.0,000:45,27,Housing,ID4219,B,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,50:00.0,06:00.0,001:16,27,Housing,ID4219,D,7,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,06:00.0,28:00.0,005:22,27,Housing,ID4794,D,17,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,02:00.0,48:00.0,000:46,27,Housing,ID0997,D,3,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,49:00.0,10:00.0,003:21,27,Housing,ID0997,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,11:00.0,30:00.0,002:19,27,Housing,ID0997,D,27,0,0,
Case 101,Turning & Milling Q.C.,Quality Check 1,33:00.0,48:00.0,000:00,27,Housing,ID4618,D,27,0,0,
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,55:00.0,55:00.0,001:00,27,Housing,ID0998,D,27,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,00:00.0,40:00.0,001:40,27,Housing,ID0998,D,21,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,15:00.0,45:00.0,001:30,27,Housing,ID4528,S,0,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,45:00.0,45:00.0,007:00,27,Housing,ID4528,D,17,0,0,
Case 101,Final Inspection Q.C.,Quality Check 1,50:00.0,31:00.0,004:41,27,Housing,ID4618,D,17,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,00:00.0,00:00.0,001:00,27,Housing,ID0998,D,6,0,0,
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,15:00.0,29:00.0,000:14,27,Housing,ID0998,D,17,0,0,
Case 101,Packing,Packing,00:00.0,00:00.0,000:00,27,Housing,ID4820,D,17,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,40:00.0,09:00.0,004:29,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,46:00.0,23:00.0,003:37,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,00:00.0,26:00.0,002:26,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,20:00.0,12:00.0,001:52,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,35:00.0,25:00.0,000:50,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,12:00.0,56:00.0,001:44,24,Spur Gear,ID0997,D,3,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,28:00.0,29:00.0,004:01,24,Spur Gear,ID4219,D,9,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,30:00.0,31:00.0,003:01,24,Spur Gear,ID4794,D,7,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,32:00.0,05:00.0,003:33,24,Spur Gear,ID0997,D,5,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,05:00.0,00:00.0,004:55,24,Spur Gear,ID0997,S,1,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,00:00.0,00:00.0,001:00,24,Spur Gear,ID4287,D,24,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,00:00.0,20:00.0,001:20,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,04:00.0,36:00.0,000:32,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,19:00.0,48:00.0,000:29,24,Spur Gear,ID0997,D,8,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,27:00.0,11:00.0,001:44,24,Spur Gear,ID4219,D,15,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,30:00.0,49:00.0,001:19,24,Spur Gear,ID4287,D,0,1,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,00:00.0,15:00.0,000:00,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,32:00.0,41:00.0,001:09,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,00:00.0,15:00.0,000:00,24,Spur Gear,ID4882,D,0,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,38:00.0,04:00.0,001:26,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,25:00.0,00:00.0,000:35,24,Spur Gear,ID4528,S,0,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,00:00.0,40:00.0,003:40,24,Spur Gear,ID4528,D,23,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,03:00.0,09:00.0,001:06,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,50:00.0,09:00.0,000:19,24,Spur Gear,ID4287,D,5,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,02:00.0,04:00.0,000:02,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,10:00.0,58:00.0,002:48,24,Spur Gear,ID4445,D,23,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,00:00.0,57:00.0,000:57,24,Spur Gear,ID4287,D,18,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,00:00.0,00:00.0,003:00,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,00:00.0,06:00.0,000:06,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Packing,Packing,00:00.0,00:00.0,000:00,24,Spur Gear,ID4820,D,23,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,10:00.0,18:00.0,001:08,52,Adjusting Nut,ID4219,B,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,19:00.0,51:00.0,002:32,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,04:00.0,38:00.0,006:34,52,Adjusting Nut,ID4219,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,24:00.0,35:00.0,008:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,35:00.0,27:00.0,002:52,52,Adjusting Nut,ID0997,D,14,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,32:00.0,38:00.0,002:55,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,32:00.0,27:00.0,003:06,52,Adjusting Nut,ID4219,D,8,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,42:00.0,16:00.0,000:34,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,03:00.0,37:00.0,001:34,52,Adjusting Nut,ID0997,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,37:00.0,48:00.0,001:11,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,49:00.0,09:00.0,004:20,52,Adjusting Nut,ID0997,D,25,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,35:00.0,35:00.0,002:00,52,Adjusting Nut,ID4219,D,5,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,27:00.0,28:00.0,000:01,52,Adjusting Nut,ID4618,D,50,2,0,
