Problem Number,Problem Change Date,Days count,Problem Change Time,Problem Sub Status,Problem Status,Problem Latest Impact,Problem Involved ST Org line 3,Problem Involved ST Function Div,Problem Involved Owner ST,Product,Country,Problem Involved Action Owner Country,Problem Involved Action Owner First Name
1-109135791,2006-01-11,0,15:49:42+01:00,Awaiting Assignment,Queued,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-109135791,2012-03-15,2255,11:53:52+01:00,In Progress,Accepted,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-109135791,2012-03-15,0,11:56:17+01:00,Assigned,Accepted,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-109135791,2012-03-15,0,12:09:05+01:00,In Progress,Accepted,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-109135791,2012-03-15,0,12:11:33+01:00,Closed,Completed,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-147898401,2006-11-07,-1955,10:00:36+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,2006-11-07,0,13:05:44+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,2009-12-02,1121,14:24:32+01:00,Wait,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,2011-09-03,640,06:09:09+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,2012-01-20,139,10:23:24+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-147898401,2012-01-20,0,10:23:27+01:00,Closed,Completed,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-165554831,2007-03-20,-1767,09:06:25+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-165554831,2009-12-02,988,14:24:31+01:00,Wait,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-165554831,2011-09-03,640,06:10:53+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-165554831,2012-01-18,137,08:52:41+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-165554831,2012-01-18,0,08:52:43+01:00,Closed,Completed,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-172473423,2007-05-10,-1714,15:21:54+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-172473423,2009-12-02,937,14:24:33+01:00,Wait,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-172473423,2011-09-03,640,06:10:59+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-172473423,2012-01-18,137,08:20:53+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-172473423,2012-01-18,0,08:21:10+01:00,Closed,Completed,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-182640781,2007-07-25,-1638,13:21:05+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,2009-12-02,861,14:24:32+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,2010-08-25,266,10:13:01+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,2011-09-05,376,08:24:13+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD681,se,Sweden,Niklas
1-182640781,2011-11-14,70,16:10:25+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,2012-01-03,50,11:30:35+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,2012-01-03,0,11:31:53+01:00,Closed,Completed,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-230541365,2008-05-07,-1336,17:58:51+01:00,In Progress,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,2008-10-06,152,15:44:37+01:00,In Progress,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,2009-12-02,422,14:24:34+01:00,Wait,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,2011-09-01,638,23:27:50+01:00,In Progress,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,2011-09-01,0,23:27:55+01:00,In Progress,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,2012-01-20,141,07:53:32+01:00,In Progress,Accepted,High,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-230541365,2012-01-20,0,07:53:35+01:00,Closed,Completed,High,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-236817141,2008-06-04,-1325,11:02:18+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,2009-12-02,546,14:24:34+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,2010-08-25,266,10:06:45+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,2011-09-03,374,07:02:11+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD681,cn,Sweden,Tomas
1-236817141,2011-11-14,72,16:09:27+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Niklas
1-236817141,2012-01-05,52,14:08:18+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD681,cn,Sweden,Tomas
1-236817141,2012-01-05,0,14:09:00+01:00,Closed,Completed,Medium,Org line A2,A2_2,M1 2nd,PROD681,cn,Sweden,Tomas
1-270399977,2008-11-13,-1148,09:43:32+01:00,In Progress,Accepted,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,2012-01-30,1173,10:56:24+01:00,In Progress,Accepted,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,2012-01-30,0,11:12:05+01:00,In Progress,Accepted,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,2012-02-16,17,14:52:16+01:00,Awaiting Assignment,Queued,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Earl
1-270399977,2012-02-16,0,15:09:17+01:00,In Progress,Accepted,High,Org line V7n,,V37 2nd,PROD542,nl,Netherlands,Juan
1-270399977,2012-02-16,0,15:09:43+01:00,Awaiting Assignment,Queued,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Earl
1-270399977,2012-02-16,0,15:10:10+01:00,In Progress,Accepted,High,Org line V7n,,V37 2nd,PROD542,nl,Netherlands,Juan
1-270399977,2012-03-19,32,09:26:32+01:00,Closed,Completed,High,Org line V7n,,V37 2nd,PROD542,nl,Netherlands,Juan
1-270427461,2008-11-13,-1222,11:01:04+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-270427461,2009-12-02,384,14:24:35+01:00,Wait,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-270427461,2011-11-14,712,15:57:27+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-270427461,2012-01-18,65,10:17:14+01:00,In Progress,Accepted,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-270427461,2012-01-18,0,10:19:21+01:00,Closed,Completed,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-310231291,2009-06-25,-937,08:47:52+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,M18 2nd,PROD38,se,Sweden,Mats
1-310231291,2012-03-28,1007,12:10:36+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,M18 2nd,PROD38,se,Sweden,Mats
1-310231291,2012-03-28,0,12:12:08+01:00,Closed,Completed,Medium,Org line A2,A2_1,M18 2nd,PROD38,se,Sweden,Mats
1-316086072,2009-08-11,-960,07:44:51+01:00,In Progress,Accepted,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,2009-08-11,0,07:55:12+01:00,Awaiting Assignment,Queued,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,2009-08-11,0,11:01:25+01:00,Assigned,Accepted,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,2010-05-18,280,11:35:53+01:00,Awaiting Assignment,Queued,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,2010-06-16,29,11:00:32+01:00,In Progress,Accepted,Medium,Org line C,C_6,G152 3rd,PROD425,se,Sweden,Tony
1-316086072,2011-10-01,472,21:40:28+01:00,Wait,Accepted,Medium,Org line C,C_6,G152 3rd,PROD425,se,Sweden,Tony
1-316086072,2011-12-07,67,12:41:00+01:00,Awaiting Assignment,Queued,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Tony
1-316086072,2012-02-15,70,12:01:20+01:00,In Progress,Accepted,Medium,Org line C,E_10,G150 2nd,PROD425,se,Sweden,Reza
1-316086072,2012-02-19,4,21:57:21+01:00,Closed,Completed,Medium,Org line C,E_10,G150 2nd,PROD425,se,Sweden,Reza
1-320604521,2009-09-07,-895,13:33:24+01:00,In Progress,Accepted,Low,Org line C,C_6,G237 3rd,PROD498,se,Sweden,Richard
1-320604521,2009-09-14,7,10:37:50+01:00,Unmatched,Unmatched,Low,Org line C,C_6,G237 3rd,PROD498,se,Sweden,Richard
1-320604521,2012-04-30,959,11:21:43+01:00,Closed,Completed,Low,Org line C,C_6,G237 3rd,PROD498,se,Sweden,Richard
1-322204195,2009-09-16,-957,21:42:12+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,2009-09-28,12,10:26:19+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,2009-09-28,0,10:26:30+01:00,Wait,Accepted,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,2010-04-08,192,11:09:22+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,2010-04-08,0,11:11:51+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,2010-04-12,4,09:05:58+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,2010-04-12,0,09:10:24+01:00,Wait,Accepted,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,2011-10-18,554,15:09:14+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
