case_id,SUB_ACT_1,ACT_1,ACT_COMB_1,SUB_ACT_2,ACT_2,ACT_COMB_2,SUB_ACT_3,ACT_3,ACT_COMB_3,SUB_ACT_4,ACT_4,ACT_COMB_4,index,duration_in_days,problem_latest_impact,st_org_line_3,st_function_div,owner_st,product,country,action_owner_country,action_owner_first_name
1-109135791,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,1,2255,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-109135791,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,1,0,High,Org line A2,A2_2,J11 2nd,PROD191,se,INDIA,Minnie
1-147898401,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,2,1121,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,2,1761,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-147898401,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,2,779,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-165554831,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,3,1628,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-165554831,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,3,777,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-172473423,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,4,1577,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-172473423,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,4,777,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-182640781,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,5,1127,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,5,642,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,5,446,Medium,Org line A2,A2_2,G167 2nd,PROD681,se,Sweden,Niklas
1-182640781,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,5,120,Medium,Org line A2,A2_2,M1 2nd,PROD681,se,Sweden,Niklas
1-230541365,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,6,574,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,6,1060,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,6,638,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-230541365,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,6,141,High,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-236817141,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,7,812,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,7,640,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,7,446,Medium,Org line A2,A2_2,G167 2nd,PROD681,cn,Sweden,Tomas
1-236817141,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,7,124,Medium,Org line A2,A2_2,M1 2nd,PROD681,cn,Sweden,Tomas
1-270399977,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,8,1173,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,8,17,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,8,17,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Juan
1-270399977,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,8,0,High,Org line V7n,,V32 2nd,PROD542,nl,Netherlands,Earl
1-270399977,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,8,0,High,Org line V7n,,V37 2nd,PROD542,nl,Netherlands,Juan
1-270427461,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,9,1096,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-270427461,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,9,777,Low,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-316086072,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,Awaiting Assignment,Queued,Queued/Awaiting Assignment,11,0,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,11,280,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,Assigned,Accepted,Accepted/Assigned,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,11,309,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,11,501,Medium,Org line C,E_10,G260 2nd,PROD425,se,Sweden,Per
1-316086072,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,11,539,Medium,Org line C,C_6,G152 3rd,PROD425,se,Sweden,Tony
1-316086072,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,11,137,Medium,Org line C,C_6,G152 3rd,PROD425,se,Sweden,Tony
1-322204195,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,13,12,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Awaiting Assignment,Queued,Queued/Awaiting Assignment,13,192,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,13,192,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,13,4,Medium,Org line A2,A2_1,W16 3rd,PROD761,pl,POLAND,Adam
1-322204195,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,13,4,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,13,554,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Closed,Completed,Completed/Closed,13,773,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-323462732,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,17,175,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,17,309,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,17,237,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,17,507,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,17,507,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,17,20,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Kalpesh
1-327329880,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,18,687,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-327329880,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,18,791,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-329451027,Wait,Accepted,Accepted/Wait,Unmatched,Unmatched,Unmatched/Unmatched,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,19,127,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,Unmatched,Unmatched,Unmatched/Unmatched,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,19,126,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,19,0,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,19,405,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,19,405,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,19,231,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Damian
1-329451027,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,19,354,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329647261,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,20,126,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,Wait,Accepted,Accepted/Wait,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,20,126,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,20,1,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,20,103,Medium,Org line A1,,N5 2nd,PROD48,se,Brazil,Ricardo
1-329647261,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,20,404,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Katarzyna
1-329647261,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,Closed,Completed,Completed/Closed,20,528,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Katarzyna
1-330634474,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,21,123,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-330634474,Assigned,Accepted,Accepted/Assigned,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,21,123,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-330634474,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Closed,Completed,Completed/Closed,21,0,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-331478885,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,22,119,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-331478885,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,22,82,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-331478885,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,22,159,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Piotr
1-331478885,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,22,679,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Piotr
1-332389008,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,23,305,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,23,489,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Closed,Completed,Completed/Closed,23,481,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-333164156,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,24,365,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,Belgium,Liesbet
1-333164156,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,24,67,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,Belgium,Liesbet
1-333164156,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,24,56,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Timothy
1-333164156,Assigned,Accepted,Accepted/Assigned,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,24,49,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Ian
1-333164156,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,24,132,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Alan
1-333164156,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,24,128,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Alan
1-333164156,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,24,98,Medium,Org line V11,,C8,PROD787,be,Denmark,Lars
1-333164156,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,24,98,Medium,Org line A2,A2_2,G8 2nd,PROD787,be,Belgium,Ibrahim
1-333164156,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,24,0,Medium,Org line A2,A2_2,G8 2nd,PROD787,be,Belgium,Ibrahim
1-333164156,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,24,62,Medium,Org line A2,A2_4,G7 3rd,PROD787,be,Belgium,Ward
1-335260940,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Unmatched,Unmatched,Unmatched/Unmatched,Closed,Completed,Completed/Closed,25,104,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-337229341,Unmatched,Unmatched,Unmatched/Unmatched,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,26,862,Major,Org line A2,A2_3,G356 2nd,PROD147,se,Sweden,Lars
1-345132462,In Progress,Accepted,Accepted/In Progress,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,33,20,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,Wait,Accepted,Accepted/Wait,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,33,26,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,33,575,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,Wait,Accepted,Accepted/Wait,In Progress,Accepted,Accepted/In Progress,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,33,709,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345255471,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,34,617,Medium,Org line C,E_4,G88 2nd,PROD793,gb,Sweden,Mats
1-345255471,Awaiting Assignment,Queued,Queued/Awaiting Assignment,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,34,754,Medium,Org line C,E_4,G88 2nd,PROD793,gb,Sweden,Mats
1-347923966,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,36,37,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-347923966,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,36,23,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-347923966,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,In Progress,Accepted,Accepted/In Progress,Closed,Completed,Completed/Closed,36,756,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-347924629,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,Wait,Accepted,Accepted/Wait,Closed,Completed,Completed/Closed,37,795,Low,Org line A2,A2_3,G349 3rd,PROD40,se,Sweden,Ann
1-351314317,In Progress,Accepted,Accepted/In Progress,Awaiting Assignment,Queued,Queued/Awaiting Assignment,In Progress,Accepted,Accepted/In Progress,Assigned,Accepted,Accepted/Assigned,40,0,Medium,Org line A2,A2_2,G21 2nd,PROD98,us,POLAND,Ewa
