case_id,ACT_1,ACT_2,ACT_3,ACT_4,Span_in_minutes
Case 1,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,379
Case 1,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,58
Case 1,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,22
Case 1,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,217
Case 1,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,90
Case 1,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,9
Case 1,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,0
Case 1,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 3,0
Case 1,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 1,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,Final Inspection Q.C.,33
Case 1,Round Grinding - Machine 3,Round Grinding - Machine 3,Final Inspection Q.C.,Final Inspection Q.C.,264
Case 1,Round Grinding - Machine 3,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,110
Case 1,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,60
Case 10,Turning & Milling - Machine 9,Turning Q.C.,Turning & Milling - Machine 9,Turning & Milling - Machine 9,244
Case 10,Turning Q.C.,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,15
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,37
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,222
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,403
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,25
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,82
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,127
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,619
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,117
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,118
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,541
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning Q.C.,232
Case 10,Turning & Milling - Machine 9,Turning & Milling - Machine 9,Turning Q.C.,Laser Marking - Machine 7,13
Case 10,Turning & Milling - Machine 9,Turning Q.C.,Laser Marking - Machine 7,Laser Marking - Machine 7,525
Case 10,Turning Q.C.,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,152
Case 10,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,Flat Grinding - Machine 11,86
Case 10,Laser Marking - Machine 7,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,114
Case 10,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Flat Grinding - Machine 11,47
Case 10,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Final Inspection Q.C.,150
Case 10,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Final Inspection Q.C.,Packing,417
Case 100,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,48
Case 100,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,240
Case 100,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,258
Case 100,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,64
Case 100,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,Lapping - Machine 1,22
Case 100,Laser Marking - Machine 7,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 3,1
Case 100,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,22
Case 100,Round Grinding - Machine 3,Round Grinding - Machine 3,Grinding Rework - Machine 12,Final Inspection Q.C.,7
Case 100,Round Grinding - Machine 3,Grinding Rework - Machine 12,Final Inspection Q.C.,Packing,271
Case 100,Grinding Rework - Machine 12,Final Inspection Q.C.,Packing,Final Inspection Q.C.,70
Case 101,Setup - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,76
